title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
9,movie,"""Action, Adventure, Animation""",2009,tt0472033,7,150594,"""LI"""
42,movie,"""Biography, Drama, Sport""",2013,tt0453562,7.5,104384,"""JP"""
360,movie,"""Crime, Drama, Mystery""",2011,tt1680045,6.1,17593,"""AT, CA, DE"""
1870,movie,"""Drama, History""",1972,tt0066948,6.6,105,"""DK, FI, IS, NO, SE"""
1945,movie,"""Drama""",2017,tt5815492,7.1,4369,"""HU, IT, SM, US, VA"""
#Followme,movie,"""Horror, Thriller""",2019,tt7272948,3.6,659,"""IS, US"""
10 Truths About Love,movie,"""Comedy, Romance""",2022,tt15483404,6,630,"""AU, IT, NZ, SM, VA"""
101 Inventions That Changed the World,movie,"""Documentary, History, War""",2012,tt2979112,7.8,20,"""US"""
102 Not Out,movie,"""Comedy, Drama""",2018,tt6580564,7.4,7633,"""AE, AG, AO, AR, AU, BB, BF, BH, BM, BO, BR, BS, BZ, CA, CD, CI, CL, CM, CO, CR, CU, DO, DZ, EC, EG, ES, GB, GF, GG, GH, GI, GT, GY, HK, HN, ID, IL, IN, IQ, JM, JO, KE, KR, KW, LB, LC, LY, MA, MC, MG, MK, ML, MW, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PF, PG, PH, PK, PS, PY, QA, SA, SG, SN, SV, TC, TD, TH, TN, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"""
1122: For a Happy Marriage,tv,"""Drama, Romance""",2024,tt31039807,7.1,79,"""AD, AL, AU, BA, BH, CA, CI, DZ, GB, GF, GG, GH, GI, HK, ID, IN, IS, JP, KE, KR, LI, LY, MA, MC, MD, MK, MY, MZ, NE, NG, NZ, PF, PH, PK, RS, SG, SM, TH, TN, TW, UG, US, VA, ZA, ZM"""
12 12 12,movie,"""Sci-Fi""",2014,tt2353755,5,54,"""ES, GB, GG, IE"""
1409. Afera na zamku Bartenstein,movie,"""Comedy""",2005,tt0491713,4.5,113,"""PL"""
16 Wishes,movie,"""Drama, Family, Fantasy""",2010,tt1646876,5.4,16377,"""BE, CH, FR"""
18 Vayasu,movie,"""Action, Thriller""",2012,tt2877914,6.1,28,"""AG, AU, BB, BM, BS, BZ, CA, CM, GH, GI, GY, IE, JM, KE, LC, MW, NG, NZ, PG, PH, TC, TT, UG, US, ZA"""
1st Amendment Stand Up,tv,"""Comedy, Documentary""",2005,tt0479822,7,79,"""US"""
2 Years of Love,movie,"""Romance""",2017,tt3752610,4.4,359,"""DK, FI, NO, SE, US"""
2016 the End,movie,"""Comedy""",2017,tt7367966,4.8,135,"""AG, BB, BS, CM, DK, FI, GH, GY, IN, IS, JM, KE, MW, NG, NO, SE, TT, UG, ZA"""
21 Hours at Munich,movie,"""Drama, History, Sport""",1976,tt0074085,6.3,1260,"""US"""
21 Jump Street,movie,"""Action, Comedy, Crime""",2012,tt1232829,7.2,611495,"""AG, AR, BB, BO, BR, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, JP, LC, MC, MX, NI, NO, PA, PE, PY, SE, SV, TC, TT, UY, VE"""
22 Bullets,movie,"""Action, Crime, Drama""",2010,tt1167638,6.6,36873,"""AD, AT, DE, ES, GB, IT, SM, US, VA"""
24 Seven,movie,"""Crime, Drama, Mystery""",2013,tt2069948,4.8,256,"""AR, BO, CL, CM, CO, CR, DO, EC, GH, GT, GY, HN, KE, MW, MZ, NG, NI, PA, PE, PY, SV, UG, US, UY, VE, ZA"""
25 Years of UK Garage,movie,"""Documentary""",2022,tt15612416,7.3,554,"""GB, GG, IE"""
29 + 1,movie,"""Comedy, Drama, Fantasy""",2017,tt6095004,6.7,594,"""JP"""
2gether,tv,"""Comedy, Drama, Romance""",2020,tt12048276,7.6,5075,"""JP"""
2nd Chance for Christmas,movie,"""Drama, Family, Fantasy""",2019,tt6899068,4.9,451,"""GB, GG, IE, US"""
3 Clear Sundays,movie,"""Drama""",1965,tt0149560,7.4,81,"""GB, GG, IE"""
3 Days in Malay,movie,"""Action, History, War""",2023,tt21158192,2.7,443,"""FR, GB, GF, GG, MC, PF"""
3 Days with Dad,movie,"""Comedy, Drama""",2019,tt6385768,4,287,"""GB, GG, IE"""
3 Idiot Heroes,movie,"""Comedy, Drama""",2023,tt30247415,3,10,"""AD, AG, AL, AR, AU, BA, BB, BH, BM, BO, BR, BS, CA, CI, CL, CO, CR, DO, DZ, EC, EG, ES, FI, GB, GF, GG, GH, GI, GT, HK, HN, ID, IE, IN, IS, JM, JP, KE, LC, LI, LY, MA, MC, MD, MK, MX, MY, MZ, NE, NG, NZ, PA, PE, PF, PH, PK, PT, PY, RS, SG, SM, SV, TC, TH, TN, TT, TW, UG, US, UY, VA, VE, ZA, ZM"""
3 Way Junction,movie,"""Adventure, Drama""",2018,tt5742264,5.4,137,"""GB, GG"""
3. Gun,movie,"""Comedy, Romance""",2024,tt31925259,4.7,107,"""TR"""
30 Years Blues,movie,"""Drama""",2019,tt12329148,7.8,28,"""JP"""
32 Weeks,movie,"""Drama""",2020,tt13380288,5.2,1912,"""AG, BB, BM, BS, BZ, CM, GH, GI, GY, JM, KE, LC, MW, NG, NZ, PG, TC, TT, UG, ZA"""
33 Days,movie,"""Biography, Documentary""",2014,tt3678980,6.5,278,"""IT, SM, US, VA"""
4 Horsemen: Apocalypse,movie,"""Action, Adventure, Fantasy""",2022,tt19766560,2.1,482,"""AT, BE, CA, CH, DE, FR, US"""
4/20 Massacre,movie,"""Action, Horror""",2018,tt5946668,3.8,820,"""AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, UY, VE"""
40 Days and 40 Nights,movie,"""Comedy, Romance""",2002,tt0243736,5.6,76571,"""US"""
461 Days of Bento,movie,"""Drama""",2020,tt12490488,6.4,105,"""JP"""
492: A Man Called Death,movie,"""Biography, Crime, Drama""",2017,tt5991954,6.5,756,"""AU, CA, CH, LI, NZ, PH, ZA"""
5 Centimeters per Second,movie,"""Animation, Drama, Family""",2007,tt0983213,7.5,65749,"""IT, SM, VA"""
59 Seconds,movie,"""Action, Drama, Thriller""",2016,tt1720035,5.5,1383,"""GB, GG, IE, US"""
5th Borough,movie,"""Crime""",2020,tt8241876,4.5,5271,"""US"""
5X Comedy,tv,"""Comedy, Drama""",2021,tt14161736,5,218,"""BR"""
6 Models in Hell,movie,"""Horror""",2012,tt2147708,3.8,77,"""BZ, IS, NZ"""
60 Jahre Pille - Wo bleibt die Pille für den Mann?,movie,"""Documentary""",2020,tt12392464,6.6,6,"""AT, CH, DE, LI"""
61 Days,movie,"""Comedy, Drama""",2016,tt5229228,7.3,15935,"""IE, SM, VA"""
64 Zoo Lane,tv,"""Animation, Family, Short""",1999,tt1817311,6.4,1052,"""AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JP, MX, NI, NL, PA, PE, PY, SV, UY, VE"""
66 Sadashiv,movie,"""Drama""",2019,tt10251300,5.3,68,"""IN"""
68 Kill,movie,"""Comedy, Crime, Thriller""",2017,tt5189894,6,6663,"""AR, BE, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NL, PA, PE, PY, SV, UY, VE"""
6-Headed Shark Attack,movie,"""Action, Adventure, Comedy""",2018,tt8360902,2.8,1637,"""AU, BE, BZ, CA, CH, CI, DK, ES, FI, FR, GF, IS, LI, MC, NE, NI, NO, PF, SE, US"""
7 jours pas plus,movie,"""Comedy, Drama""",2017,tt5308364,6.1,391,"""FR, GF, PF"""
700 Sharks,movie,"""Documentary""",2018,tt10564814,6.7,154,"""AT, BE, CH, DE, FR, GF, LI, MC, PF"""
8 Slices,movie,"""Drama""",2019,tt7906978,5.9,112,"""AG, BB, BM, BS, GH, GI, IE, JM, KE, LC, NG, NI, NZ, TC, TT, UG, US, ZA"""
8 Stories,movie,"""Drama""",2015,tt5443684,5.2,34,"""GB, GG, US"""
80 for Brady,movie,"""Comedy, Drama, Sport""",2023,tt18079362,5.9,12253,"""US"""
9/11: The Falling Man,movie,"""Documentary""",2006,tt0810746,7.2,2188,"""CA"""
9/11: Voices from the Air,movie,"""Documentary""",2012,tt2379890,7.3,76,"""AG, AU, BB, BS, BZ, CM, GH, GY, IE, JM, KE, MW, NG, NZ, TT, UG, ZA"""
A Baby at any Cost,movie,"""Thriller""",2022,tt15331880,5.5,254,"""IT"""
A Bad Influence,movie,"""Drama""",2023,tt8769372,7,53,"""GB, GG, IE"""
A Band Called Death,movie,"""Biography, Documentary, Music""",2012,tt2064713,7.5,4046,"""BZ, IS, ZA"""
A Bay of Blood,movie,"""Horror, Mystery, Thriller""",1971,tt0067656,6.5,13300,"""BE, GB, GG, GH, IE, KE, NG, NL, US, ZA"""
A Beautiful Soul,movie,"""Drama""",2012,tt1954204,4.9,131,"""AU, ZA"""
A Bennett Song Holiday,movie,"""Comedy, Drama, Family""",2020,tt8552834,6.1,80,"""GB, GG, US"""
A Billion to One,tv,"""Drama""",2017,tt3289378,6.8,62,"""BM, DK, FI, GI, IS, LC, NO, NZ, PH, SE, TC"""
A Black Veil for Lisa,movie,"""Crime, Horror, Thriller""",1968,tt0063323,5.9,725,"""IT, SM, VA"""
A Brixton Tale,movie,"""Drama, Romance, Thriller""",2021,tt7556502,4.9,357,"""GB, GG"""
A Century of Black Cinema,movie,"""Documentary""",2003,tt1381270,6.1,57,"""AG, BB, BS, BZ, CA, CM, GB, GG, GH, GY, IS, JM, KE, MW, NG, NZ, TT, UG, US"""
A Christmas in Royal Fashion,movie,"""Romance""",2018,tt9217732,5.4,856,"""AR, CL, CO, MX, US"""
A Christmas Tail,movie,"""Family""",2014,tt4200996,5.2,408,"""AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, UY, VE"""
A Christmas to Cherish,movie,"""Comedy, Drama, Family""",2019,tt8416396,6.1,1102,"""AU, GB, GG, IE, NZ"""
A Christmas Wish in Hudson,movie,"""Romance""",2021,tt13624384,5.4,330,"""US"""
A Cinderella Story,movie,"""Comedy, Family, Romance""",2004,tt0356470,5.9,95831,"""GB, GG, IE"""
A Clear Felling,movie,"""Crime, Thriller""",2018,tt6682828,5.7,238,"""CA"""
A Company of Heroes,movie,"""Documentary""",2012,tt7516468,7.9,70,"""GB, GG, US"""
A Condition Called Love,tv,"""Animation, Drama, Romance""",2024,tt29899598,6.5,539,"""JP"""
A Country Christmas,movie,"""Family""",2013,tt2098799,5.4,427,"""US"""
A Cowgirl's Story,movie,"""Drama, Family""",2017,tt5704912,5.5,740,"""AG, AU, BB, BS, BZ, CA, CM, GB, GG, GH, GY, JM, KE, MW, NG, NZ, TT, UG"""
A Cozy Christmas Quilt,movie,"""Romance""",2023,tt27773299,6.4,326,"""AR, BO, CL, CO, CR, DO, EC, GT, HN, MX, PA, PE, PY, SV, US, UY, VE"""
A Cure for Wellness,movie,"""Drama, Fantasy, Horror""",2016,tt4731136,6.4,112711,"""CH, CY, DK, KR, NI"""
A Dangerous Method,movie,"""Biography, Drama, Romance""",2011,tt1571222,6.4,109423,"""BE, BZ, IT, NI, SM, VA"""
A Dark Reflection,movie,"""Thriller""",2015,tt2662218,5.2,684,"""GB, GG, US"""
A Dark Truth,movie,"""Action, Drama, Thriller""",2012,tt2083379,5.6,6343,"""US"""
A Date with Darkness: The Trial and Capture of Andrew Luster,movie,"""Drama""",2003,tt0374600,5.5,522,"""US"""
A Daughter's Plan to Kill,movie,"""Thriller""",2019,tt11058006,4.5,308,"""BE, CH, FR, GF, PF"""
A Deadly Legend,movie,"""Horror""",2020,tt10021582,2.6,298,"""AT, DE, GB, GG, IE, US"""
A Destructive God Sits Next to Me,tv,"""Animation, Comedy""",2020,tt11296252,6.5,103,"""JP"""
A Different Loyalty,movie,"""Drama, Romance, Thriller""",2004,tt0326828,4.9,1575,"""CA, GB, GG, IE, SM, US, VA"""
A Doggone Adventure,movie,"""Adventure, Family""",2018,tt6912990,5.3,126,"""BM, BZ, CM, GH, GI, GY, IE, IS, KE, LC, MW, NG, NZ, PG, TC, UG, US, ZA"""
A Dog's Courage,movie,"""Adventure, Animation, Family""",2018,tt7852002,6.1,264,"""CA, US"""
A Field in England,movie,"""Drama, History, Horror""",2013,tt2375574,6.2,14350,"""DK, FI, NO, SE"""
A Fight for Jenny,movie,"""Drama""",1986,tt0091047,5.8,130,"""AU, NZ, US"""
A Fireman for Christmas,movie,"""Comedy, Drama, Romance""",2023,tt27757682,3.3,43,"""GB, GG, IE, US"""
A First Farewell,movie,"""Drama""",2018,tt8779020,6.8,260,"""CA, US"""
A Fish Called Wanda,movie,"""Comedy, Crime""",1988,tt0095159,7.5,156612,"""AD, DK, ES, FI, NO, SE"""
A Flash of Beauty: Bigfoot Revealed,movie,"""Documentary""",2022,tt14869850,7,180,"""GB, GG, IE"""
A Force of One,movie,"""Action, Crime, Drama""",1979,tt0079168,5.1,4457,"""CA, ES, US"""
A Foreign Affair,movie,"""Comedy, Drama, Romance""",1948,tt0040367,7.3,8744,"""JP"""
A Free Woman,movie,"""Drama""",1954,tt0168690,6.6,131,"""SM, VA"""
A Frozen Christmas 3,movie,"""Animation, Musical""",2018,tt8535852,4,54,"""GB, GG, US"""
"A Galaxy Far, Far Away",tv,"""Comedy, Documentary""",2001,tt0230234,5.2,140,"""AU, CA, DK, FI, IS, NO, SE"""
A Garota da Moto,tv,"""Drama""",2016,tt5512844,7.7,57,"""CU, ES, GB, GG, IE, PT"""
A Gift for Christmas,movie,"""Comedy, Drama, Family""",2017,tt7006938,6.6,2588,"""AU, CA, CM, GH, IE, IT, KE, MW, NG, UG, ZA"""
A Gift of Miracles,movie,"""Drama""",2015,tt4137596,6.3,1333,"""AG, AT, AU, BB, BM, BS, BZ, CA, CM, DE, GH, GI, GY, IE, JM, KE, LC, MW, NG, NZ, PG, PH, TC, TT, UG, ZA"""
A Girl and Three Sweethearts,tv,"""Comedy, Drama, Romance""",2016,tt5679980,7.1,980,"""US"""
A Good Day to Die,movie,"""Biography, Documentary, History""",2010,tt1540733,7.8,164,"""AU, BZ, NZ"""
A Good Man,movie,"""Action, Crime, Thriller""",2014,tt3480556,4.4,3964,"""AT, DE, FR, GF, GH, IN, IT, KE, NG, PF, SM, UG, US, VA, ZA"""
A Good Woman Is Hard to Find,movie,"""Crime, Drama, Thriller""",2019,tt6624144,6.3,5697,"""ES, GG, IE, JP, US"""
A Guide to Dating at the End of the World,movie,"""Comedy, Romance, Sci-Fi""",2022,tt2177884,5.3,265,"""GB, GG, IE"""
A Haunting on Potter Street: The Potter Street Station,movie,"""Documentary""",2012,tt2658192,5.1,202,"""AU, CA, US"""
A Horse for Summer,movie,"""Drama, Family""",2015,tt2901516,4.7,217,"""AT, DE"""
A Is for Acid,movie,"""Crime, Drama, Mystery""",2002,tt0327392,7,920,"""CA, US"""
A Kid,movie,"""Drama""",2016,tt4741708,7.3,1984,"""AR, AT, BO, BZ, CL, CO, CR, DE, DO, EC, GT, HN, NI, PA, PE, PY, SV, US, UY, VE"""
A Kiss for Christmas,movie,"""Comedy, Romance""",2011,tt1790621,6.1,5054,"""AT, CH, DE, IT, LI, SM, VA"""
A Knife for the Ladies,movie,"""Drama, Horror, Mystery""",1974,tt0071722,4.6,414,"""AU"""
A Knife in the Dark,movie,"""Mystery, Thriller""",2024,tt29928572,3.2,77,"""GB, GG, IE"""
A Lonely Place to Die,movie,"""Action, Adventure, Crime""",2011,tt1422136,6.2,31109,"""AU, BR, BZ, CM, FJ, GI, GY, JP, NZ, PG, PH, TC"""
A Man Alone,movie,"""Western""",1955,tt0048336,6.4,1320,"""ES"""
A Man of Principle,movie,"""Drama""",1984,tt0195624,7.3,591,"""AR, BO, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"""
A Man Possessed,movie,"""Drama""",2016,tt2980864,3.5,39,"""BZ, CM, GY, MW, PG"""
A Man's Head,movie,"""Crime, Mystery, Thriller""",1933,tt0024710,7.1,715,"""JP"""
A Match in Manhattan,movie,"""Romance""",2024,tt29213543,5.7,128,"""AU, NZ, US"""
A Meowy Halloween,movie,"""Comedy, Family, Horror""",2018,tt9024440,5.3,65,"""US"""
A Merry Single Christmas,movie,"""Romance""",2022,tt18315972,5.1,284,"""US"""
A Midsummer Night's Dream,movie,"""Comedy, Fantasy, Romance""",1968,tt0063297,6.5,908,"""GB, GG"""
"A Minute to Pray, a Second to Die",movie,"""Action, Crime, Drama""",1967,tt0063308,6.3,653,"""AT, DE, GB, GG"""
A Moment to Remember,movie,"""Drama, Romance""",2004,tt0428870,8.1,26016,"""JP"""
A Monster Calls,movie,"""Adventure, Drama, Family""",2016,tt3416532,7.4,95192,"""CU, ES, GB, GG, GY, NI, US"""
A Monsterous Holiday,movie,"""Action, Adventure, Animation""",2013,tt3229044,6.3,117,"""CA, US"""
A Most Wanted Man,movie,"""Crime, Drama, Thriller""",2014,tt1972571,6.7,81478,"""CA, IN, IT, JP, SM, VA"""
A Mother's Revenge,movie,"""Crime, Drama""",1993,tt0107607,6,519,"""GB, GG, IE, NG, US, ZA"""
A Nashville Christmas Carol,movie,"""Drama, Fantasy, Music""",2020,tt13341432,6.3,1414,"""AU"""
A Norman Rockwell Christmas Story,movie,"""Family""",1995,tt5283212,6.9,370,"""DK, FI, IS, NO, SE, US"""
A Novel Romance,movie,"""Comedy, Romance""",2015,tt3783746,6.4,2954,"""BE, CH, FR, GF, PF"""
A Perfect 14,movie,"""Documentary""",2018,tt3302266,5.8,4260,"""CA, GB, GG, IE"""
A Perfect Getaway,movie,"""Drama, Mystery, Thriller""",2009,tt0971209,6.5,77294,"""CA, GB, GG"""
A Place in Hell,movie,"""War""",1969,tt0063450,5.1,126,"""AT, DE, SM, VA"""
A Private Affair,tv,"""Comedy, Crime, Drama""",2022,tt10698534,6.5,2302,"""AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BF, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GF, GG, GH, GI, GR, GT, GY, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, MD, MG, MK, ML, MT, MW, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, SM, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, US, UY, VA, VE, YE, ZA, ZM, ZW"""
A Promise to Astrid,movie,"""Drama""",2019,tt9125380,5.7,171,"""US"""
A Reason to Live,movie,"""Drama""",2011,tt2085883,6.1,226,"""JP"""
"A Reason to Live, a Reason to Die",movie,"""Drama, Western""",1972,tt0069159,6.1,2299,"""IE, US"""
A Scandall,movie,"""Thriller""",2016,tt5780570,3.1,169,"""DK, FI, IE, IN, IS, NO, SE"""
A Scene at the Sea,movie,"""Comedy, Drama, Romance""",1991,tt0103704,7.5,6876,"""ES"""
A Secret World,movie,"""Drama""",2012,tt2151893,5.9,170,"""AR, BO, BZ, CL, CM, CO, CR, DO, EC, GT, GY, HN, MW, NI, PA, PE, PG, PY, SV, UY, VE"""
A Serious Man,movie,"""Comedy, Drama""",2009,tt1019452,7,152322,"""CA"""
A Slice of Life in Barcelona,movie,"""Crime, Drama""",2015,tt3876674,5.2,151,"""ES"""
A Sort of Homecoming,movie,"""Drama""",2015,tt3303652,5.6,298,"""US"""
A Southern Haunting,movie,"""Horror, Thriller""",2023,tt11299722,3.6,396,"""GB, GG, IE"""
A Sower of Seeds 2,movie,"""Drama""",2015,tt3553422,5.9,11,"""JP"""
A Spicy Kraut,movie,"""Comedy, Drama""",2013,tt2448912,5,421,"""AT, DE"""
A Spiritual Matter,movie,"""Drama""",2015,tt4287014,5.9,87,"""FR"""
A Stormy Summer Night,movie,"""Drama""",2015,tt2050499,4.6,124,"""FR, GF, PF"""
A Story of Sahel Sounds,movie,"""Documentary, Music""",2016,tt6194978,7.7,42,"""BE, BF, CD, CH, CI, GF, MC, MG, ML, NE, PF, SM, SN, VA"""
A Strange Adventure,movie,"""Crime, Drama, Film-Noir""",1932,tt0023520,5.1,261,"""US"""
A Stranger in Town,movie,"""Action, Drama, Western""",1967,tt0060325,5.9,761,"""AO, AR, AT, BE, BF, BO, CD, CH, CI, CL, CO, CR, DE, DK, DO, EC, FI, FR, GF, GT, HN, IS, JP, LI, MC, MG, ML, MZ, NE, NI, NO, PA, PE, PF, PT, PY, SE, SN, SV, UY, VE"""
A Street Cat Named Bob,movie,"""Biography, Drama, Family""",2016,tt3606888,7.3,34380,"""CA, IN"""
A Tale of Love and Desire,movie,"""Drama, Romance""",2021,tt12077970,6.6,1195,"""IT, JP, SM, US, VA"""
A Terrible Beauty...,movie,"""Documentary, Drama, History""",2013,tt2466316,8,67,"""GG"""
A Thin Line Between You and Me,movie,"""Drama""",2023,tt28347477,5.4,23,"""IE"""
A Thousand Kisses Deep,movie,"""Romance, Sci-Fi, Thriller""",2011,tt1565069,5.1,544,"""US"""
A Thousand Little Cuts,movie,"""Thriller""",2022,tt11244558,5.1,758,"""GB, GG, US"""
A Thousand Skies,tv,"""Adventure, Biography, Drama""",1985,tt0088630,7.8,21,"""AU, DK, FI, IS, NO, SE"""
A Thousand Times Stronger,movie,"""Drama""",2010,tt1711522,5.2,1247,"""BE, BF, CD, CH, CI, FR, GF, MC, MG, ML, NE, PF, SN"""
A Time to Love and a Time to Die,movie,"""Drama, Romance, War""",1958,tt0052296,7.6,3816,"""ES"""
A Town Called Hell,movie,"""Action, Drama, Western""",1971,tt0067870,5,888,"""SM, VA"""
A Town Full of Ghosts,movie,"""Horror""",2022,tt16020820,4.1,477,"""GB, GG, IE, US"""
A Verdade da Mentira,movie,"""Documentary""",2020,tt11019782,7.1,30,"""AO, BR, MZ"""
A Very Country Christmas,movie,"""Comedy, Drama, Romance""",2017,tt7001906,6.1,2040,"""AG, AU, BB, BF, BM, BS, BZ, CA, CD, CM, DK, GB, GG, GH, GI, GY, IE, IS, JM, KE, LC, MG, ML, MW, NG, NZ, PG, PH, SN, TC, TT, UG, US, ZA"""
A Very Natural Thing,movie,"""Drama, Romance""",1974,tt0072362,6.7,1050,"""AU, CA, NZ, US"""
A Very Nutty Christmas,movie,"""Comedy, Fantasy, Romance""",2018,tt8295976,5.8,1587,"""GB, GG, IE"""
A Very Special Christmas Show,movie,"""Comedy""",2023,tt30056935,8.7,12,"""GB"""
A Vineyard Christmas,movie,"""Romance""",2023,tt28669205,5.4,153,"""AR, BE, BO, CL, CO, CR, DO, EC, FR, GT, HN, MX, PA, PE, PY, SV, US, UY, VE"""
A Vow to Cherish,movie,"""Drama, Family""",1999,tt0207823,6.6,337,"""AG, AO, AR, BB, BE, BF, BM, BO, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, DO, EC, FR, GF, GH, GI, GT, GY, HN, HU, IE, JM, KE, LC, LI, MC, MG, ML, MW, MX, MZ, NE, NG, NI, NO, PA, PE, PF, PG, PY, SE, SN, SV, TC, TT, UG, UY, VE"""
A Walk to Remember,movie,"""Drama, Romance""",2002,tt0281358,7.3,224502,"""IN, JP, US"""
A Warm December,movie,"""Drama, Romance""",1973,tt0070898,6.1,823,"""AR, BO, BZ, CL, CO, CR, DO, EC, GB, GG, GT, HN, NI, PA, PE, PY, SV, UY, VE"""
A Wedding for Christmas,movie,"""Romance""",2018,tt9217772,5.3,1162,"""US"""
A Wedding to Remember,movie,"""Comedy, Romance""",2021,tt12567442,6.1,661,"""AT, AU, CH, DE, GB, GG, IE, IT, NZ, US"""
A Woman Named Jackie,tv,"""Biography, Drama""",1991,tt0101238,6.5,358,"""AU, BM, BZ, CA, GI, IS, LC, NZ, PG, PH, TC, US"""
A Woman of Independent Means,tv,"""Drama""",1995,tt0112226,6.6,296,"""CA, IE, US"""
A Woman of Paris: A Drama of Fate,movie,"""Drama, Romance""",1923,tt0014624,6.9,6350,"""AT, DE"""
A Woman Scorned: The Betty Broderick Story,movie,"""Drama, Thriller""",1992,tt0105833,7.1,1570,"""US"""
A Woman's Name,movie,"""Drama""",2018,tt8009522,5.8,447,"""AT, CH, DE, IT, SM, VA"""
A World Apart,movie,"""Drama""",1988,tt0096464,7,1875,"""BE, CH"""
A World Within A World: The Bay Houses of Long Island,movie,"""Documentary""",2020,tt12075980,7.8,9,"""GB, GG, IE"""
A.C.O.R.N.S.: Operation Crackdown,movie,"""Animation, Comedy, Family""",2015,tt2097333,3.6,475,"""US"""
A.D.A.M.,movie,"""Comedy""",1988,tt0092503,5.5,62,"""AT, CH, DE"""
¡A todo tren! Destino Asturias,movie,"""Comedy""",2021,tt13150080,5.3,1355,"""AD, ES, PT"""
¿De qué se ríen las mujeres?,movie,"""Comedy, Romance""",1997,tt0118937,5.3,311,"""ES"""
À la conquête de Titan,movie,"""Documentary""",2017,tt7424516,7,64,"""US"""
Éxtasis,movie,"""Drama""",1996,tt0118239,6.5,864,"""AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, NI, PA, PE, PY, SV, US, UY, VE"""
Año Cero,movie,"""Drama""",2015,tt5343480,4.4,23,"""GB, GG"""
Aaj Ka Goonda Raaj,movie,"""Action, Thriller""",1992,tt0247909,5.4,194,"""DK, FI, IE, IN, IS, NO, SE"""
Aan Baan,movie,"""Drama""",1972,tt0178183,6.3,41,"""GB, GG, IE, IN"""
Aankhen,movie,"""Action, Comedy, Crime""",1993,tt0106204,6.8,2384,"""BM, BZ, CM, GH, GI, GY, IN, KE, LC, MW, NG, NZ, PG, PH, TC, UG, ZA"""
Aarambham,movie,"""Thriller""",2024,tt31436476,6.7,450,"""IN"""
Aarkkariyam,movie,"""Crime, Drama""",2021,tt13342406,6.9,1707,"""AU, BM, BZ, CM, GH, GI, GY, IE, IN, KE, LC, MW, NG, NZ, PG, PH, TC, UG, ZA"""
Aashiqui Not Allowed,movie,"""Comedy""",2013,tt3013270,5.5,55,"""DK, FI, IN, IS, NO, SE"""
Ab Insaf Hoga,movie,"""Action, Drama""",1995,tt0112272,5.2,47,"""GB, GG, IE, IN"""
Abbuzze! Der Badesalz Film,movie,"""Comedy""",1996,tt0115448,6.5,946,"""AT, DE"""
Abducted,movie,"""Thriller""",2021,tt12717808,4.4,122,"""US"""
Abduction,movie,"""Action, Drama, Mystery""",2011,tt1600195,5.1,84029,"""AD, AU, FR, GB, GF, GG, MC, PF"""
Abe & Bruno,movie,"""Family""",2005,tt0796301,4.5,73,"""GB, GG, IE, US"""
Abe & Phil's Last Poker Game,movie,"""Comedy, Drama""",2017,tt5175636,5.7,321,"""BE, NL, US"""
Abhimaan,movie,"""Drama, Musical""",1973,tt0069671,7.8,3087,"""AU, CA, DK, FI, IE, IN, IS, NO, SE"""
Abigail,movie,"""Horror, Thriller""",2024,tt27489557,6.6,76652,"""BR, CA"""
About That Life,movie,"""Comedy, Drama""",2019,tt9045008,6.4,705,"""BE, NL"""
About Us,movie,"""Comedy, Drama, Romance""",2016,tt4876286,6.8,247,"""BZ, NI"""
Above & Beyond,movie,"""Drama, Romance""",2001,tt0279623,4.5,217,"""AT, BF, CD, DE, MG, ML, SN"""
Above Ground Level: Dubfire,movie,"""Documentary, Music""",2017,tt6068746,7,67,"""DK, FI, GB, GG, IE, IS, NO, SE, ZA"""
Abraham Lincoln vs. Zombies,movie,"""Action, Comedy, Horror""",2012,tt2246549,3.2,4289,"""BE, BZ, CH, CI, FR, GB, GF, GG, IE, MC, NE, NI, PF"""
