title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Emil and the Detectives,movie,"""Adventure, Comedy, Crime""",2001,tt0256739,6,1294,"""AT, DE"""
Eminem: Count Me In,movie,"""Biography, Documentary, Music""",2023,tt24514002,5.8,85,"""AU, GB, GG, IE, NZ"""
Emma,movie,"""Comedy, Drama, Romance""",1996,tt0118308,7,6298,"""BE, BF, CA, CD, CH, CI, GF, MC, MG, ML, NE, PF, SN, US"""
Empire Queen: The Golden Age of Magic,movie,"""Adventure, Comedy, Fantasy""",2024,tt6534616,3,180,"""AT, CH, DE, FR, GB, GF, GG, IE, JP, PF, US"""
Enakkoru Magan Pirappan,movie,"""Drama""",1996,tt8947996,5.1,23,"""AG, AU, BB, BM, BS, BZ, CA, CM, GH, GI, GY, IN, JM, KE, LC, MW, NG, NZ, PG, PH, TC, TT, UG, US, ZA"""
Enchanted Christmas,movie,"""Romance""",2017,tt7030416,5.9,1502,"""AU, BZ, GB, GG, IT, NI, SM, VA"""
Encounter,movie,"""Horror""",2016,tt3719434,3.8,724,"""AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, HN, IE, NI, PA, PE, PY, SV, UY, VE"""
End Times,movie,"""Action, Drama, Horror""",2023,tt28188398,4.5,275,"""US"""
Endless,movie,"""Drama, Fantasy, Romance""",2020,tt5723282,4.9,1562,"""AT, AU, DE, ES, GB, GG, IE, IT, NZ, PT, SM, US, VA"""
Enemy,movie,"""Drama, Mystery, Thriller""",2013,tt2316411,6.9,221046,"""AT, DE, JP"""
Enemy Lines,movie,"""Action, Drama, War""",2020,tt9904802,4.6,1981,"""AT, AU, BE, CH, DE, ES, JP, NL, US"""
Engaging Father Christmas,movie,"""Drama, Romance""",2017,tt6958760,6.7,1905,"""AU, CM, GB, GH, IE, IT, KE, MW, NG, NZ, SM, UG, VA, ZA"""
Enhanced,movie,"""Action, Sci-Fi""",2019,tt9458062,4.8,1048,"""BE, BR, CH, FR, GB, GF, GG, PF, US"""
Enjiya,tv,"""Drama""",2021,tt15359596,7.3,25,"""JP"""
Ennalum Ente Aliya,movie,"""Comedy""",2023,tt15509688,5.5,1042,"""AD, AE, AG, AL, AO, AR, AU, BA, BB, BF, BH, BM, BO, BR, BS, BZ, CA, CD, CI, CL, CM, CO, CR, DO, DZ, EC, EG, ES, GB, GF, GG, GH, GI, GT, GY, HK, HN, ID, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, MG, MK, ML, MW, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PF, PG, PH, PK, PS, PY, QA, RS, SA, SG, SM, SV, TC, TD, TH, TN, TT, TW, TZ, UG, US, UY, VA, VE, YE, ZA, ZM, ZW"""
Enrico Brignano Parte Prima,movie,"""Comedy""",2022,tt22869510,6.8,14,"""IT, MC, SM, VA"""
Entanglement,movie,"""Drama""",2021,tt7510166,5.8,122,"""GB, GG, US"""
